EmployeePositionID,EmpID,PositionID,HiredDate
1,817,5,2012-09-03
2,711,5,2018-01-21
3,341,5,2015-05-27
4,749,9,2013-12-13
5,50,7,2019-02-09
6,554,8,2018-07-31
7,627,3,2014-09-16
8,754,3,2020-08-25
9,548,9,2010-02-10
10,229,9,2018-11-20
11,32,4,2014-12-18
12,624,10,2012-10-30
13,796,1,2017-12-17
14,894,5,2010-09-28
15,285,8,2014-10-31
16,765,4,2012-09-19
17,71,4,2015-03-05
18,218,2,2013-07-09
19,276,5,2021-03-20
20,685,6,2011-01-05
21,593,5,2016-10-10
22,13,7,2021-12-04
23,598,2,2018-01-14
24,789,6,2010-03-04
25,444,8,2014-02-24
26,654,5,2013-05-23
27,68,10,2011-01-05
28,844,4,2019-05-18
29,622,3,2012-02-20
30,488,6,2011-02-04
31,611,2,2012-05-20
32,497,2,2015-05-15
33,889,5,2015-06-18
34,865,10,2014-09-30
35,942,8,2018-05-20
36,841,9,2015-01-23
37,917,9,2020-12-23
38,590,8,2020-12-05
39,899,10,2011-11-26
40,499,6,2011-05-22
41,139,4,2010-01-17
42,861,2,2011-04-22
43,280,3,2010-06-27
44,345,1,2014-02-14
45,157,5,2017-08-30
46,569,1,2019-08-26
47,276,10,2012-03-25
48,113,6,2018-06-14
49,215,5,2013-04-12
50,372,4,2014-02-18
51,399,8,2017-08-21
52,625,8,2018-06-12
53,277,7,2016-04-19
54,540,7,2021-01-15
55,14,2,2011-06-09
56,306,9,2021-07-13
57,326,4,2018-04-07
58,937,1,2017-12-09
59,44,9,2016-12-07
60,476,6,2010-01-21
61,210,9,2020-01-31
62,363,1,2013-03-14
63,772,1,2015-02-02
64,789,2,2010-01-04
65,387,9,2016-05-29
66,770,8,2017-09-20
67,708,4,2014-11-15
68,504,2,2013-01-24
69,307,5,2015-04-04
70,522,4,2011-11-10
71,998,10,2018-08-21
72,15,2,2020-07-06
73,587,6,2020-06-10
74,330,2,2021-12-27
75,511,2,2011-09-11
76,656,5,2016-05-22
77,655,4,2017-06-08
78,977,7,2018-06-15
79,229,8,2016-06-30
80,587,9,2019-11-23
81,258,7,2016-06-16
82,694,3,2015-07-01
83,20,2,2019-12-16
84,910,1,2010-04-16
85,345,8,2012-08-26
86,599,9,2016-08-19
