ItemID,ItemName,Price,ItemTypeID
1,Pho Noodles Special 1,32.48,1
2,Pho Noodles Special 2,10.81,4
3,Chicken Tikka Masala Special 3,29.29,3
4,Margherita Pizza Special 4,47.76,2
5,Caesar Salad Special 5,5.95,4
6,Chicken Tikka Masala Special 6,22.06,3
7,Beef Burrito Special 7,40.12,1
8,Cheeseburger Special 8,20.0,2
9,Falafel Wrap Special 9,20.87,2
10,Margherita Pizza Special 10,39.47,3
11,Caesar Salad Special 11,7.86,3
12,Beef Burrito Special 12,7.21,3
13,Spaghetti Carbonara Special 13,14.47,1
14,Sushi Roll Special 14,29.1,3
15,Pad Thai Special 15,49.33,4
16,Beef Burrito Special 16,42.72,4
17,Cheeseburger Special 17,22.8,3
18,Cheeseburger Special 18,37.3,5
19,Cheeseburger Special 19,18.06,5
20,Margherita Pizza Special 20,12.26,2
21,Caesar Salad Special 21,21.82,2
22,Caesar Salad Special 22,23.6,5
23,Falafel Wrap Special 23,29.88,5
24,Caesar Salad Special 24,16.19,4
25,Chicken Tikka Masala Special 25,5.61,3
26,Falafel Wrap Special 26,43.05,1
27,Cheeseburger Special 27,38.98,1
28,Pad Thai Special 28,28.69,2
29,Falafel Wrap Special 29,27.57,2
30,Chicken Tikka Masala Special 30,40.61,3
31,Beef Burrito Special 31,6.9,4
32,Caesar Salad Special 32,17.74,5
33,Chicken Tikka Masala Special 33,6.09,4
34,Cheeseburger Special 34,33.42,1
35,Pho Noodles Special 35,35.96,4
36,Beef Burrito Special 36,6.52,4
37,Caesar Salad Special 37,38.75,2
38,Caesar Salad Special 38,41.58,3
39,Margherita Pizza Special 39,22.0,5
40,Caesar Salad Special 40,23.03,5
41,Falafel Wrap Special 41,41.82,4
42,Sushi Roll Special 42,44.45,1
43,Pho Noodles Special 43,43.79,1
44,Chicken Tikka Masala Special 44,8.44,1
45,Cheeseburger Special 45,27.7,3
46,Cheeseburger Special 46,36.66,3
47,Margherita Pizza Special 47,37.97,5
48,Chicken Tikka Masala Special 48,5.91,3
49,Pho Noodles Special 49,38.42,4
50,Sushi Roll Special 50,29.38,3
51,Pad Thai Special 51,46.35,1
52,Pho Noodles Special 52,9.3,4
53,Pad Thai Special 53,31.47,2
54,Sushi Roll Special 54,22.6,1
55,Pad Thai Special 55,42.42,3
56,Cheeseburger Special 56,43.67,4
57,Sushi Roll Special 57,40.31,2
58,Cheeseburger Special 58,24.13,2
59,Cheeseburger Special 59,38.46,5
60,Sushi Roll Special 60,18.6,3
61,Spaghetti Carbonara Special 61,25.65,5
62,Pho Noodles Special 62,9.49,2
63,Spaghetti Carbonara Special 63,48.62,5
64,Cheeseburger Special 64,30.93,1
65,Margherita Pizza Special 65,21.95,4
66,Chicken Tikka Masala Special 66,24.33,2
67,Falafel Wrap Special 67,15.0,3
68,Caesar Salad Special 68,23.28,5
69,Beef Burrito Special 69,17.54,5
70,Falafel Wrap Special 70,17.8,3
71,Pho Noodles Special 71,36.63,5
