ItemID,ItemName,Price,ItemTypeID
1,Should Pasta Alfredo,32.7,3
2,Nice Caesar Salad,38.79,6
3,Just Lamb Chops,30.96,7
4,Generation BBQ Ribs,24.95,10
5,Ever Chicken Tikka Masala,38.03,8
6,Technology Sushi Roll,31.23,6
7,Wind BBQ Ribs,27.56,2
8,Late Beef Steak,20.58,5
9,Light French Toast,25.88,10
10,Deep Caesar Salad,11.07,7
11,Plant Caesar Salad,25.25,9
12,Girl French Toast,46.9,7
13,Line Falafel Wrap,13.23,3
14,Interesting Ramen Noodles,13.92,7
15,Budget Pumpkin Soup,18.42,9
16,Both Chicken Tikka Masala,38.28,7
17,Business Sushi Roll,32.33,9
18,Around Pumpkin Soup,30.18,6
19,Perform Beef Steak,36.44,4
20,Add Chili Con Carne,37.66,1
21,Control Grilled Chicken,8.75,5
22,By Chili Con Carne,9.78,4
23,Fight Sushi Roll,47.67,10
24,Game Tuna Tartare,45.31,4
25,Since Tomato Soup,17.17,10
26,Perform Crispy Duck,45.47,4
27,Project Club Sandwich,44.26,1
28,Most Club Sandwich,24.85,6
29,Try Crispy Duck,29.56,2
30,Hot Miso Soup,43.11,9
31,A Gnocchi Pesto,48.25,1
32,Store Sushi Roll,10.66,5
33,Hope Stuffed Peppers,30.49,4
34,Too Lamb Chops,33.58,8
35,Often Vegan Burrito,27.16,6
36,End Spaghetti Bolognese,39.76,9
37,Agree Chili Con Carne,9.55,6
38,Evidence Beef Steak,49.67,6
39,Father Cobb Salad,12.14,2
40,Season Caesar Salad,5.33,6
41,Arm Crispy Duck,7.5,9
42,Cell Crispy Duck,28.24,10
43,Religious Pancake Stack,35.68,7
44,Scene Fish Tacos,42.99,3
45,Nature Sushi Roll,8.33,8
46,Apply Club Sandwich,23.18,8
47,Quite Shrimp Tempura,43.59,1
48,Avoid BBQ Ribs,49.33,2
49,Up Chicken Tikka Masala,28.64,6
50,Nearly Chili Con Carne,24.69,7
51,Product BBQ Ribs,38.19,5
52,Month Ramen Noodles,19.53,1
53,Late Pasta Alfredo,44.83,5
54,Around Spaghetti Bolognese,10.1,7
55,Yourself Stuffed Peppers,38.53,4
56,Job Pasta Alfredo,30.31,5
57,Deep Pancake Stack,44.42,2
58,Source Vegan Burrito,47.14,6
59,Open Falafel Wrap,40.17,9
60,Heavy Grilled Chicken,27.95,5
61,Could Sushi Roll,32.9,4
62,Year Cobb Salad,36.5,2
63,Picture Pad Thai,15.85,8
64,Act Pancake Stack,17.93,4
65,Family Club Sandwich,30.67,4
66,Reason Stuffed Peppers,19.71,1
67,Herself BBQ Ribs,35.33,3
68,Field Caesar Salad,48.46,2
69,Good Falafel Wrap,25.28,1
70,Meet Spaghetti Bolognese,6.72,2
71,Politics Beef Steak,43.5,4
72,Military Vegan Burrito,23.73,4
73,Sell Pancake Stack,29.27,4
74,But Chili Con Carne,20.43,7
75,Behavior Chicken Tikka Masala,7.83,4
76,Specific Pumpkin Soup,9.14,2
77,Practice Veggie Pizza,5.26,10
78,None Chili Con Carne,46.39,10
79,Member Beef Steak,32.39,6
80,No Gnocchi Pesto,46.5,3
81,Put Chili Con Carne,34.9,8
82,Build Pumpkin Soup,18.38,6
83,Outside Beef Steak,39.62,9
84,Newspaper Chicken Tikka Masala,27.33,9
85,Head Miso Soup,42.06,7
86,Face Chicken Tikka Masala,7.38,6
87,Message Cheeseburger,24.56,9
88,Senior Gnocchi Pesto,46.38,7
89,Low Chili Con Carne,12.64,5
90,Various Pumpkin Soup,6.84,10
91,Simply Pumpkin Soup,38.52,4
92,Admit Gnocchi Pesto,21.08,9
93,Similar Pumpkin Soup,36.26,4
94,Fly Tuna Tartare,12.77,6
95,Add Chicken Tikka Masala,29.25,3
96,Outside Pumpkin Soup,35.47,1
97,Peace Tomato Soup,27.72,8
98,Represent Ramen Noodles,29.76,8
99,Its French Toast,38.87,7
100,Value Crispy Duck,12.86,1
101,Wait French Toast,5.51,1
102,Participant Pasta Alfredo,26.78,3
103,Actually Caesar Salad,5.6,4
104,Executive Shrimp Tempura,31.74,6
105,Community BBQ Ribs,36.62,1
106,Which Shrimp Tempura,34.51,10
107,Produce Pancake Stack,47.47,5
108,Chance Spaghetti Bolognese,44.87,10
109,Once Beef Steak,41.98,3
110,Sometimes Pad Thai,38.07,4
111,Discuss Cobb Salad,6.71,2
112,Bag Baked Salmon,12.97,4
113,Control Tuna Tartare,41.6,9
114,Culture Shrimp Tempura,27.27,10
115,Compare Cheeseburger,34.4,7
116,Statement Chicken Tikka Masala,48.74,8
117,Throughout Stuffed Peppers,48.86,2
118,Moment Ramen Noodles,7.76,3
119,Card Pancake Stack,7.48,6
120,And Fish Tacos,31.92,6
121,Pick Spaghetti Bolognese,48.22,1
122,Pass Beef Steak,21.72,2
123,Save BBQ Ribs,34.01,4
124,Offer Fish Tacos,43.29,7
125,Piece Pad Thai,36.92,1
126,Base Cobb Salad,19.82,8
127,Way Caesar Salad,28.58,6
128,Itself Pancake Stack,39.9,8
129,Operation Gnocchi Pesto,43.49,9
130,Media Tuna Tartare,7.72,7
131,Buy Chicken Tikka Masala,33.76,10
132,Lawyer BBQ Ribs,36.22,7
133,One Pumpkin Soup,31.18,3
134,Wall Miso Soup,48.36,4
135,Scientist BBQ Ribs,20.45,7
136,Candidate Cheeseburger,31.07,5
137,State Falafel Wrap,20.47,5
138,Teacher Gnocchi Pesto,15.22,5
139,Seem Chili Con Carne,48.44,8
140,He Pancake Stack,40.67,9
141,Present Caesar Salad,28.0,6
142,Reality Fish Tacos,42.35,8
143,Attention Grilled Chicken,39.49,1
144,Program Baked Salmon,11.84,1
145,Newspaper Shrimp Tempura,14.64,4
146,My French Toast,38.7,7
147,Everybody Shrimp Tempura,42.78,8
148,Usually Veggie Pizza,47.78,3
149,Person Grilled Chicken,38.73,8
150,Financial Baked Salmon,14.7,6
151,Until Club Sandwich,6.78,8
152,Field Pasta Alfredo,19.19,8
153,Possible Ramen Noodles,33.85,4
154,Ground Falafel Wrap,49.79,5
155,Customer Cobb Salad,20.51,8
156,Mouth Pumpkin Soup,13.62,5
157,Trip Pad Thai,7.43,6
158,Light Baked Salmon,9.92,4
159,Media Club Sandwich,7.41,1
160,Despite Club Sandwich,13.5,10
161,Family Lamb Chops,49.68,3
162,Item Falafel Wrap,17.51,5
163,Hear Pancake Stack,48.15,7
164,Success Stuffed Peppers,15.95,2
165,Give French Toast,10.1,2
166,Visit Ramen Noodles,15.64,8
167,Resource Lamb Chops,42.14,8
168,Spring Chicken Tikka Masala,43.09,2
169,Minute Pancake Stack,13.41,6
170,Short Pad Thai,29.78,4
171,Reality Club Sandwich,31.81,3
172,Television Caesar Salad,16.89,4
173,Reveal Cobb Salad,41.25,2
174,Truth Pancake Stack,8.69,8
175,Public BBQ Ribs,9.1,10
176,Training Pad Thai,18.23,2
177,Expect Falafel Wrap,45.24,8
178,Education Tuna Tartare,5.02,7
179,Hit Shrimp Tempura,11.29,6
180,Picture Sushi Roll,15.36,8
181,Matter Spaghetti Bolognese,35.84,2
182,Truth Pasta Alfredo,26.77,6
183,Agree Pad Thai,24.52,6
184,Special Ramen Noodles,34.86,8
185,Thought Falafel Wrap,36.5,3
186,Reflect Pad Thai,43.51,7
187,Mission Veggie Pizza,47.19,7
188,I Lamb Chops,43.19,8
189,Son Pad Thai,33.74,4
190,Represent Baked Salmon,23.57,7
191,Big Gnocchi Pesto,12.36,5
192,Entire Sushi Roll,19.97,5
193,Less French Toast,20.8,5
194,Senior Club Sandwich,42.16,1
195,Yeah Lamb Chops,38.29,10
196,Surface Cobb Salad,25.16,8
197,Good Tuna Tartare,11.25,5
198,Lawyer Chicken Tikka Masala,44.21,3
199,Partner Shrimp Tempura,35.72,1
200,Phone Cobb Salad,49.87,10
201,Heavy Miso Soup,42.37,1
202,Also Cheeseburger,27.22,9
203,Thought Ramen Noodles,13.58,6
204,South Cobb Salad,39.01,3
205,Vote Gnocchi Pesto,7.19,5
206,On Pasta Alfredo,15.41,1
207,Budget Gnocchi Pesto,43.27,9
208,College Grilled Chicken,12.46,1
209,Fast Veggie Pizza,10.53,5
210,Nature Cobb Salad,24.62,3
211,Method Fish Tacos,28.17,1
212,Understand Pasta Alfredo,6.21,2
213,Cup Ramen Noodles,9.36,6
214,Away Grilled Chicken,21.81,1
215,Activity Veggie Pizza,38.76,1
216,Color Pad Thai,20.69,8
217,Themselves Spaghetti Bolognese,32.5,9
218,Chance Beef Steak,43.69,10
219,Letter Grilled Chicken,42.68,3
220,Live French Toast,44.31,3
221,Responsibility Crispy Duck,11.77,5
222,Five Vegan Burrito,26.04,10
223,Onto Fish Tacos,11.87,5
224,Rather Spaghetti Bolognese,15.18,2
225,Open Caesar Salad,36.0,1
226,Of Ramen Noodles,34.17,10
227,Attention Pad Thai,29.36,5
228,Admit Cobb Salad,36.18,3
229,Prevent French Toast,42.38,5
230,Anything Baked Salmon,7.62,2
231,Political Lamb Chops,44.21,4
232,Imagine Chili Con Carne,42.64,7
233,Animal Sushi Roll,11.0,6
234,Central Pad Thai,24.67,1
235,Wife Sushi Roll,47.6,3
236,Ahead Falafel Wrap,6.02,3
237,Best Chicken Tikka Masala,17.73,2
238,Never Lamb Chops,26.3,5
239,Quite Stuffed Peppers,49.69,7
240,Medical Chicken Tikka Masala,47.62,1
241,Save Chili Con Carne,37.18,2
242,Lot Tuna Tartare,23.47,8
243,Enjoy Shrimp Tempura,37.6,2
244,Conference Gnocchi Pesto,30.16,7
245,Focus Pasta Alfredo,8.37,10
246,Claim Baked Salmon,38.81,5
247,Firm Grilled Chicken,28.82,7
248,Professional Cheeseburger,15.55,2
249,Room Baked Salmon,48.52,3
250,Push Tomato Soup,43.9,5
251,Us Beef Steak,29.16,8
252,Movement Lamb Chops,40.08,9
253,Visit Pumpkin Soup,31.47,6
254,South Pad Thai,19.16,5
255,Record Fish Tacos,7.92,2
256,Week Gnocchi Pesto,31.79,5
257,Grow Caesar Salad,20.4,1
258,Production Pasta Alfredo,46.3,3
259,Remain Veggie Pizza,41.2,1
260,Theory Crispy Duck,23.28,4
261,Fund Caesar Salad,41.47,6
262,Stay Beef Steak,29.33,9
263,Board Baked Salmon,37.63,2
264,Child Fish Tacos,6.66,5
265,Support Fish Tacos,41.68,1
266,Return Pad Thai,16.47,1
267,Education Pasta Alfredo,25.42,4
268,Arrive Vegan Burrito,37.6,1
269,Everyone Grilled Chicken,26.67,9
270,Also Spaghetti Bolognese,7.22,6
271,Wonder Vegan Burrito,49.93,4
272,Population Sushi Roll,23.38,10
273,Fall Falafel Wrap,12.4,2
274,One Spaghetti Bolognese,7.02,4
275,Attorney Falafel Wrap,9.93,9
276,Open Stuffed Peppers,43.4,5
277,American Pumpkin Soup,47.46,10
278,Table Vegan Burrito,46.39,7
279,Interview Gnocchi Pesto,15.02,6
280,Serve Pasta Alfredo,6.82,2
281,Food Pumpkin Soup,19.37,4
282,Skill BBQ Ribs,47.18,1
283,Learn Pumpkin Soup,16.78,2
284,Produce Ramen Noodles,37.48,3
285,Record Stuffed Peppers,13.64,3
286,Art Fish Tacos,26.32,2
287,Fish Club Sandwich,23.65,5
288,Service Spaghetti Bolognese,24.81,1
289,Six Pumpkin Soup,19.48,3
290,Action Baked Salmon,27.83,3
291,Executive Tuna Tartare,41.23,2
292,Television Tomato Soup,44.0,6
293,Wide Shrimp Tempura,19.33,10
294,Phone Miso Soup,40.4,10
295,Tell Fish Tacos,24.21,10
296,Decision BBQ Ribs,17.78,8
297,Election Shrimp Tempura,15.61,6
298,Particular Club Sandwich,8.59,7
299,Degree Pad Thai,25.09,8
300,Approach Gnocchi Pesto,21.94,7
301,Worker Pancake Stack,26.14,1
302,Stop Shrimp Tempura,8.15,4
303,Support BBQ Ribs,30.32,2
304,Arrive Tomato Soup,23.68,1
305,Hot Chicken Tikka Masala,47.82,5
306,Read Veggie Pizza,46.3,1
307,Develop Falafel Wrap,47.03,9
308,Structure Fish Tacos,10.8,9
309,Seem Club Sandwich,42.37,4
310,Stuff Ramen Noodles,11.33,5
311,Television Sushi Roll,35.81,8
312,Bit Pancake Stack,33.79,2
313,Today Tuna Tartare,27.43,5
314,All Sushi Roll,36.12,7
315,Wear Beef Steak,30.85,1
316,End Cheeseburger,25.73,8
317,High Cobb Salad,47.55,4
318,Able Grilled Chicken,39.2,10
319,Nice Club Sandwich,45.96,5
320,Letter Tuna Tartare,23.1,4
321,Reflect Gnocchi Pesto,17.71,1
322,Garden Tuna Tartare,18.2,7
323,Upon Stuffed Peppers,39.92,1
324,Meet Chili Con Carne,13.22,8
325,Movement Ramen Noodles,36.88,10
326,Gas Spaghetti Bolognese,11.95,8
327,When Falafel Wrap,34.81,3
328,Baby Pancake Stack,33.06,9
329,System Club Sandwich,35.78,8
330,Require Pancake Stack,23.34,2
331,Could Caesar Salad,16.3,7
332,Say Falafel Wrap,15.16,1
333,Determine Fish Tacos,49.64,1
334,Shake Ramen Noodles,29.92,9
335,Design Vegan Burrito,6.11,8
336,Life Caesar Salad,5.04,6
337,Partner Ramen Noodles,21.58,2
338,Career Pad Thai,11.79,6
339,Or Caesar Salad,5.17,7
340,Sort Veggie Pizza,22.09,3
