MenuIngredientID,MenuID,IngredientID,MeasurementID,Quantity
1,708,157,2,285.92
2,942,730,5,9.98
3,109,773,5,91.15
4,158,355,5,297.16
5,879,759,5,50.51
6,836,681,2,57.7
7,982,363,4,21.86
8,188,841,5,297.91
9,346,217,3,198.55
10,922,399,2,250.77
11,651,810,4,260.03
12,251,69,1,161.81
13,279,407,4,86.36
14,848,242,1,148.24
15,323,235,5,285.18
16,791,125,5,100.57
17,14,910,1,69.83
18,395,179,4,200.02
19,521,804,3,200.87
20,235,585,4,198.77
21,396,65,3,220.5
22,810,488,1,111.65
23,258,583,1,240.79
24,960,642,1,113.64
25,439,738,3,26.25
26,580,785,3,102.33
27,279,18,5,280.34
28,94,591,4,179.77
29,217,606,3,138.0
30,509,367,2,22.76
31,823,1,2,10.36
32,173,446,2,201.67
33,73,638,4,33.35
34,747,678,1,49.15
35,76,964,2,173.61
36,770,734,4,272.25
37,636,414,4,161.93
38,663,465,4,15.72
39,978,536,4,68.61
40,169,437,4,268.49
41,237,82,5,295.6
42,190,136,4,197.35
43,692,783,1,140.81
44,348,713,5,289.33
45,548,637,4,196.38
46,431,361,2,252.99
47,959,213,5,270.53
48,716,710,3,64.89
49,618,94,4,102.0
50,193,32,5,203.27
51,805,593,3,58.6
52,128,149,1,51.77
53,601,71,3,253.44
54,794,358,4,243.23
55,279,290,5,193.82
56,819,944,3,146.58
57,729,52,1,46.38
58,992,575,4,121.71
59,317,558,4,151.44
60,305,587,4,179.96
61,946,317,1,128.84
62,207,395,3,130.86
63,35,264,3,14.74
64,417,251,3,97.85
65,226,482,2,16.1
66,757,396,3,171.69
67,632,191,4,135.21
68,113,904,5,196.77
69,141,583,4,70.71
70,211,51,3,180.1
71,737,9,2,113.56
72,113,166,5,52.53
73,424,691,2,130.84
74,241,81,3,186.15
75,939,538,5,255.73
76,861,584,3,185.46
77,358,945,3,127.11
78,446,254,3,291.85
79,772,269,3,224.87
80,315,727,3,236.74
81,811,919,3,185.54
82,406,584,5,178.78
83,772,623,2,250.97
84,968,879,3,86.36
85,462,292,2,174.6
86,277,899,4,82.82
87,539,778,5,55.54
88,230,49,5,101.82
89,431,132,5,218.27
90,741,958,2,296.56
91,686,838,5,194.55
92,904,535,5,258.15
93,277,103,2,51.52
94,991,9,5,136.44
95,63,708,2,38.97
96,491,780,1,146.28
97,309,921,5,107.59
98,294,646,4,114.31
99,484,820,5,43.91
