RestaurantID,RestaurantName,PhoneNumber,NeighborhoodID,Address1,City,State1,Zip,RestaurantTypeID
1,Brittanys Tacos,+1-723-856-1325,9,5276 Spence Shoal,Campbellbury,IL,43894,10
2,Kyles Grill,8981621971,8,5314 Andre Glen Suite 205,Martintown,NC,19667,3
3,Michaels Bistro,938.382.9827x43,9,6105 Donna Squares,Rodriguezfort,MA,68843,9
4,Michaels Bistro,001-070-052-047,16,6549 Gonzalez Estates,Fordberg,MO,85251,3
5,Sherris Diner,102.857.3864,4,351 Vanessa Plain Apt. 632,South Dakotaview,GA,66970,1
6,Timothys Cafe,149.083.6317,5,18523 Anthony Views Suite 361,Williamsland,NJ,17873,7
7,Brians Pizza,231.328.8639x27,18,073 Mark Summit,Foxville,KS,71699,7
8,Kyles Grill,(567)925-7874,16,762 Maldonado Trafficway Apt. 603,West Ashley,MA,86909,8
9,Kyles Grill,001-159-939-052,3,3842 Gill Drive,Christopherfurt,ND,93407,9
10,Johns Kitchen,(010)649-3546x9,11,735 Jennifer Locks,Collinsfurt,IL,55881,5
11,Seans House,+1-619-790-8373,8,3461 Daniel Ford,Lake George,AR,02349,10
12,Brittanys Tacos,034-599-8865x64,19,280 Kirsten Gardens Apt. 884,Port Nancychester,WA,18428,9
13,Johns Kitchen,001-995-834-059,20,82887 Dixon Oval Suite 591,East Ashley,FL,42972,5
14,Samuels Corner,+1-233-468-4272,3,72003 Miller Knolls,North Misty,CA,98319,4
15,Timothys Cafe,001-570-111-165,11,9758 Davis Ways,East Andrew,NH,25684,7
16,Brians Pizza,816.376.3256,13,43846 Joseph Row,Theresaport,TN,99891,3
17,Michaels Bistro,(198)847-9812x0,13,77912 Thomas Island,West Curtis,OK,45159,5
18,Kyles Grill,894-562-1748x19,18,454 Ronald Island Suite 767,Connorstad,AR,63415,2
19,Seans House,056.669.7127x64,14,1430 Greene Gateway Apt. 876,Lake Saraport,OR,64562,9
20,Michaels Bistro,(191)777-7960x7,8,1115 Lawrence Grove Suite 028,Hortonchester,ID,69845,7
21,Timothys Cafe,135-723-9725x87,8,5928 Nicholas Vista,South Thomasside,SD,08881,3
22,Johns Kitchen,7247687938,9,485 Caitlin Springs Apt. 804,East Catherinefurt,IL,33677,4
23,Timothys Cafe,810.773.1149,4,16223 Hood Locks Suite 802,Jacksonside,NE,52218,7
24,Gabrielles Table,(066)093-4940x0,10,723 Murphy Oval,South Timothy,IL,02495,10
25,Michaels Bistro,001-273-357-763,3,868 Jay Mission,West Brandonfort,ID,25466,1
26,Kyles Grill,161.419.0367,4,9450 Shawn Forks,Bennetthaven,IA,02972,4
27,Samuels Corner,602-939-5533,3,2740 Williams Camp,Blankenshipburgh,WV,73143,7
28,Samuels Corner,001-251-731-365,11,1046 Gregory Harbors,West Grant,RI,28049,3
29,Seans House,068-929-6461x91,19,1673 Laura Club,West Lisa,SC,93824,9
30,Kyles Grill,000-872-0029,7,8323 Mary Mountain Apt. 810,North Benjaminmouth,WA,78931,10
31,Seans House,+1-733-166-9984,4,7771 Nunez Lane,Williambury,AL,36702,2
32,Samuels Corner,184-958-9483x52,19,73665 Jacobs Union Suite 299,Jilliantown,NH,61963,8
33,Kyles Grill,001-023-555-451,12,8111 Hill Turnpike Suite 267,East Phillip,NC,96454,8
34,Kyles Grill,(030)706-5930x9,5,42029 Emily Manor,North Stephanie,CT,67258,6
35,Johns Kitchen,442.942.1533,11,2240 Seth Court,Jessicatown,NE,77190,7
36,Johns Kitchen,853.275.8655,13,794 Oliver Coves,Tarashire,WV,23209,7
37,Brittanys Tacos,001-185-877-436,19,2674 Hanson Stream Suite 915,South Lauren,AL,61674,3
38,Timothys Cafe,1138954788,1,28622 Lawson Manors,Chaveztown,NV,28820,1
39,Kyles Grill,654.564.9757,10,1398 Gibbs Squares,Lake Edward,NJ,64297,6
40,Sherris Diner,657.249.3956x79,2,4027 Betty Ways Suite 239,Wagnerborough,WA,65104,7
41,Johns Kitchen,410-386-7125,19,055 Nichols Ridges,East Deborah,TX,99358,4
42,Seans House,234.866.1447x38,18,88085 Jennifer River Apt. 367,Rossshire,WI,36132,5
43,Johns Kitchen,717-259-4943x23,7,1112 Jessica Ports,Edwardsborough,AR,12597,2
44,Brians Pizza,+1-908-572-5748,13,00584 Larry Islands Apt. 525,East Nicholas,OK,07159,2
45,Samuels Corner,(282)186-8228,14,654 William Tunnel Apt. 979,Elliottville,MS,62198,2
46,Brittanys Tacos,124.290.1583,11,6262 Mendez Flats Apt. 925,Suareztown,PA,56866,6
47,Kyles Grill,+1-153-934-6618,12,67767 Joel Burg Suite 109,Lake Brittanyfurt,LA,89933,10
48,Kyles Grill,194.757.7851,5,681 Howard Plain Suite 264,Lisaview,TX,30595,6
49,Johns Kitchen,113.984.0411,17,00228 Amy Canyon,New Joelbury,DE,14757,1
50,Gabrielles Table,001-771-680-064,20,7773 Glenn Cove Apt. 678,South Patricktown,DC,08447,4
51,Johns Kitchen,201-240-5506,19,57927 Teresa Highway Apt. 243,Jaimefurt,VT,03473,5
52,Brians Pizza,1656127058,8,0009 Morales Stravenue Apt. 380,Jacobland,DC,71926,3
53,Brittanys Tacos,001-415-548-898,4,8929 Vega Meadow,Port Emma,HI,45951,9
54,Brittanys Tacos,(698)405-0469x4,13,03678 Smith Walks Apt. 550,Garzahaven,MN,90692,2
55,Kyles Grill,735-661-6895x66,1,84045 Sara Fall Suite 993,Dawsonfort,KS,98327,2
56,Samuels Corner,(882)305-0463,18,418 Laura Rest,Sharishire,GA,34994,4
57,Brittanys Tacos,(058)865-6276x7,15,022 Turner Harbors,Shawport,MD,15344,10
58,Michaels Bistro,211-507-3249x74,11,686 Lang Prairie Apt. 248,New Michele,SC,59414,1
59,Samuels Corner,(265)802-9033x2,5,6456 Hernandez Port Apt. 069,Victorialand,FL,54925,5
60,Samuels Corner,+1-575-849-7044,10,234 Lee Springs,Shaneport,NY,70216,4
61,Johns Kitchen,+1-589-774-5708,8,174 Kimberly Ridges,Carlaview,MA,53850,9
62,Seans House,1828595868,16,4267 Mack Mission Suite 867,Brandonchester,TN,94513,4
63,Brittanys Tacos,001-959-847-230,15,07742 Emily Lock,Steeleport,MA,75616,1
64,Seans House,001-867-686-910,5,37841 Robinson Camp Suite 669,Williamville,PA,16713,4
65,Brittanys Tacos,440.650.3337x51,20,9653 Fernando Inlet,Andrewmouth,KY,79020,5
66,Samuels Corner,137.144.2684,10,148 Hawkins Run,North Jeannebury,FL,88348,2
67,Samuels Corner,2786812649,5,86464 Curry Meadows,Horneton,AK,72328,10
68,Kyles Grill,6603175234,2,282 John Bypass,Elizabethview,VT,40806,10
69,Timothys Cafe,(777)337-9223,20,44320 Gray Falls,Samuelville,AZ,97547,1
70,Johns Kitchen,(512)854-5952,11,56594 Wang Cape Suite 138,Reynoldstown,TN,89015,10
71,Seans House,892-721-0723,10,23076 Ramirez Vista,Alexmouth,KY,47877,8
72,Gabrielles Table,995-949-6909,17,72391 Laura Rapids,East Julie,WV,78851,1
73,Timothys Cafe,+1-300-229-0997,4,949 Paul Street Suite 397,Jeffreyhaven,NM,34075,1
74,Samuels Corner,0074930934,9,02986 Christina Mews,South Pamela,AK,99824,6
75,Michaels Bistro,336-323-4581x17,19,253 Amy Roads,Lake Ericaport,KS,44887,2
76,Kyles Grill,328-157-1861,16,1238 Holloway Causeway Apt. 390,New Jennifer,MN,93470,5
77,Kyles Grill,9634285161,7,873 Kidd Curve,Lawrenceburgh,NE,77118,1
78,Johns Kitchen,(699)897-3277,16,49087 Massey Lodge Apt. 355,Harrisfurt,MN,64494,6
79,Samuels Corner,(963)379-5340x6,10,28043 Scott Light,South Danielbury,VT,43603,5
80,Kyles Grill,848-173-1585x25,13,694 Melissa Garden Apt. 960,Mcmahonburgh,AZ,23182,7
81,Samuels Corner,8759391029,2,24721 Richardson Run,Smithborough,KS,78350,9
82,Michaels Bistro,213-795-0477,11,0650 Caleb Unions,New Trevorland,MA,65299,4
